CustomerID,Gender,SeniorCitizen,Partner,Dependants,TenureMonths,MonthlyCharges,TotalCharges_clean,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,PaperlessBilling,FiberOpticFlag,MonthlyContractFlag,EstimatedRevenue,TenureSegment,ChurnValue,ChurnProbability,ChurnRiskPercent
0002-ORFBO,Female,No,Yes,No,9,65.6,593.3,DSL,No,Yes,No,Yes,Yes,No,One year,Mailed check,Yes,0,0,590.4,Established,0,0.112773634,11.28
0003-MKNFE,Male,No,No,No,9,59.9,542.4,DSL,No,No,No,No,No,Yes,Month-to-month,Mailed check,No,0,1,539.1,Established,0,0.17284182,17.28
0004-TLHLJ,Male,No,No,No,4,73.9,280.85,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Electronic check,Yes,1,1,295.6,New,1,0.7039777,70.4
0011-IGKFF,Male,Yes,Yes,No,13,98.0,1237.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,Yes,1,1,1274.0,Established,1,0.83654314,83.65
0013-EXCHZ,Female,Yes,Yes,No,3,83.9,267.4,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Mailed check,Yes,1,1,251.7,New,1,0.7895425,78.95
0013-MHZWF,Female,No,No,Yes,9,69.4,571.45,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),Yes,0,1,624.6,Established,0,0.13968171,13.97
0013-SMEOE,Female,Yes,Yes,No,71,109.7,7904.25,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),Yes,1,0,7788.7,Loyal,0,0.023908174,2.39
0014-BMAQU,Male,No,Yes,No,63,84.65,5377.8,Fiber optic,Yes,No,No,Yes,No,No,Two year,Credit card (automatic),Yes,1,0,5332.95,Loyal,0,0.03516431,3.52
0015-UOCOJ,Female,Yes,No,No,7,48.2,340.35,DSL,Yes,No,No,No,No,No,Month-to-month,Electronic check,Yes,0,1,337.4,Established,0,0.35201365,35.2
0016-QLJIS,Female,No,Yes,Yes,65,90.45,5957.9,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Mailed check,Yes,0,0,5879.25,Loyal,0,0.0020324606,0.2
0017-DINOC,Male,No,No,No,54,45.2,2460.55,DSL,Yes,No,No,Yes,Yes,No,Two year,Credit card (automatic),No,0,0,2440.8,Loyal,0,0.035324663,3.53
0017-IUDMW,Female,No,Yes,Yes,72,116.8,8456.75,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),Yes,1,0,8409.6,Loyal,0,0.0019052848,0.19
0018-NYROU,Female,No,Yes,No,5,68.95,351.5,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,Yes,1,1,344.75,New,0,0.62693053,62.69
0019-EFAEP,Female,No,No,No,72,101.3,7261.25,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Bank transfer (automatic),Yes,1,0,7293.6,Loyal,0,0.014274163,1.43
0019-GFNTW,Female,No,No,No,56,45.05,2560.1,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Bank transfer (automatic),No,0,0,2522.8,Loyal,0,0.018943617,1.89
0020-INWCK,Female,No,Yes,Yes,71,95.75,6849.4,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Credit card (automatic),Yes,1,0,6798.25,Loyal,0,0.00387152,0.39
0020-JDNXP,Female,No,Yes,Yes,34,61.25,1993.2,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Mailed check,No,0,0,2082.5,Loyal,0,0.008634793,0.86
0021-IKXGC,Female,Yes,No,No,1,72.1,72.1,Fiber optic,No,No,No,No,No,No,Month-to-month,Electronic check,Yes,1,1,72.1,New,0,0.86381674,86.38
0022-TCJCI,Male,Yes,No,No,45,62.7,2791.5,DSL,Yes,No,Yes,No,No,Yes,One year,Credit card (automatic),No,0,0,2821.5,Loyal,1,0.10892524,10.89
0023-HGHWL,Male,Yes,No,No,1,25.1,25.1,DSL,No,No,No,No,No,No,Month-to-month,Electronic check,Yes,0,1,25.1,New,1,0.8822839,88.23
0023-UYUPN,Female,Yes,Yes,No,50,25.2,1306.3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,No,0,0,1260.0,Loyal,0,0.03315694,3.32
0023-XUOPT,Female,No,Yes,No,13,94.1,1215.6,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Electronic check,No,1,1,1223.3,Established,1,0.74090064,74.09
0027-KWYKW,Female,No,Yes,Yes,23,83.75,1849.95,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Electronic check,Yes,1,1,1926.25,Established,0,0.07903238,7.9
0030-FNXPP,Female,No,No,No,3,19.85,57.2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No,0,1,59.55,New,0,0.2341404,23.41
0031-PVLZI,Female,No,Yes,No,4,20.35,76.35,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No,0,1,81.4,New,1,0.19145507,19.15
0032-PGELS,Female,No,Yes,Yes,1,30.5,30.5,DSL,Yes,No,No,No,No,No,Month-to-month,Bank transfer (automatic),No,0,1,30.5,New,1,0.63831764,63.83
0036-IHMOT,Female,No,Yes,Yes,55,103.7,5656.75,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),Yes,1,0,5703.5,Loyal,0,0.0086739315,0.87
0040-HALCW,Male,No,Yes,Yes,54,20.4,1090.6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No,0,0,1101.6,Loyal,0,0.0031591302,0.32
0042-JVWOJ,Male,No,No,No,26,19.6,471.85,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),Yes,0,0,509.6,Loyal,0,0.019158678,1.92
0042-RLHYP,Female,No,Yes,Yes,69,19.7,1396.9,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No,0,0,1359.3,Loyal,0,0.0021066663,0.21
0048-LUMLS,Male,No,Yes,Yes,37,91.2,3247.55,Fiber optic,No,No,No,No,Yes,Yes,One year,Credit card (automatic),No,1,0,3374.4,Loyal,0,0.005059377,0.51
0048-PIHNL,Female,No,Yes,No,49,20.45,900.9,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No,0,0,1002.05,Loyal,0,0.037028838,3.7
0052-DCKON,Male,No,Yes,No,66,115.8,7942.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),No,1,0,7642.8,Loyal,0,0.41198912,41.2
0052-YNYOT,Female,No,No,No,67,20.55,1343.4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,No,0,0,1376.85,Loyal,0,0.014422176,1.44
